1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.482750	0.000000	174.959492	0.001741	15.6
1	-0.476076	0.000000	174.959492	0.002046	1.0
2	-0.490655	0.282589	172.636386	0.002251	0.8
3	-0.483289	0.179283	173.478460	0.002855	0.9
4	-0.486855	1.069929	166.477626	0.001689	1.0
5	-0.464770	1.213304	165.403099	0.001611	0.8
6	-0.469943	0.827828	168.324090	0.001578	0.8
7	-0.457386	0.772668	168.750530	0.002543	0.8
8	-0.475915	1.508420	163.234442	0.001910	0.8
9	-0.480282	1.475432	163.474023	0.001858	0.8
10	-0.476359	1.071828	166.463297	0.001943	0.8
11	-0.476164	0.830761	168.301479	0.002453	0.8
12	-0.476993	0.375063	171.889519	0.001378	0.8
13	-0.483217	0.590017	170.178159	0.002241	0.8
14	-0.480570	0.590161	170.177024	0.001711	0.8
15	-0.494160	0.209036	173.235096	0.003565	0.8
16	-0.470165	0.000000	174.959492	0.001286	0.8
17	-0.481466	0.000000	174.959492	0.003106	0.9
18	-0.477692	0.000000	174.959492	0.002408	0.9
19	-0.484199	0.000000	174.959492	0.001261	0.8
20	-0.483957	0.000000	174.959492	0.001936	0.8
21	-0.475270	0.000000	174.959492	0.002724	0.8
22	-0.465792	0.175896	173.506202	0.003499	0.8
23	-0.478486	0.000000	174.959492	0.002109	0.8
24	-0.479074	0.045542	174.580886	0.002582	0.8
25	-0.483327	0.539608	170.576425	0.001436	0.8
26	-0.477982	0.401125	171.680193	0.001716	0.8
27	-0.476539	0.144893	173.760605	0.002348	0.8
28	-0.480093	0.000000	174.959492	0.003200	0.8
29	-0.491058	0.000000	174.959492	0.002816	0.8
30	-0.468859	0.000000	174.959492	0.001937	0.8
31	-0.487927	0.000000	174.959492	0.001974	0.8
32	-0.483586	0.000000	174.959492	0.001808	1.0
33	-0.486210	0.000000	174.959492	0.001885	1.0
34	-0.470694	0.000000	174.959492	0.002015	1.0
35	-0.479214	0.000000	174.959492	0.002712	0.9
36	-0.494164	0.000000	174.959492	0.001539	0.9
37	-0.466910	0.317755	172.351608	0.003198	0.8
38	-0.485294	0.000000	174.959492	0.001752	1.0
39	-0.482797	0.000000	174.959492	0.001734	0.9
40	-0.486351	0.000000	174.959492	0.001806	0.9
41	-0.480583	0.000000	174.959492	0.001937	0.8
42	-0.496140	0.000000	174.959492	0.002195	0.8
43	-0.478162	0.000000	174.959492	0.001874	0.8
44	-0.483700	0.000000	174.959492	0.002178	0.8
45	-0.482001	0.000000	174.959492	0.001646	0.8
46	-0.477107	0.000000	174.959492	0.002818	0.8
47	-0.487153	0.000000	174.959492	0.002540	0.8
48	-0.477553	0.000000	174.959492	0.003267	0.9
49	-0.494604	0.000000	174.959492	0.002788	0.9
50	-0.477875	0.995739	167.039139	0.002150	0.8
51	-0.466683	0.504475	170.855108	0.002007	0.8
52	-0.480961	0.214412	173.191195	0.003540	0.8
53	-0.483251	0.000000	174.959492	0.002046	0.8
54	-0.472661	0.826920	168.331097	0.002062	0.8
55	-0.497907	0.594381	170.143769	0.004166	0.8
56	-0.495828	1.586485	162.670260	0.001662	0.8
57	-0.488087	2.242063	158.081894	0.003758	0.8
58	-0.503023	1.922280	160.287255	0.001910	0.8
59	-0.482465	1.429291	163.810321	0.004013	0.8
60	-0.477598	2.394702	157.050487	0.002572	0.8
61	-0.493028	3.379240	150.708117	0.002800	0.8
62	-0.477415	4.219987	145.684029	0.001981	0.8
63	-0.497521	3.728039	148.582318	0.002735	0.8
64	-0.472857	3.250171	151.510245	0.001914	1.1
65	-0.502351	2.783954	154.480174	0.003223	0.9
66	-0.493998	2.650019	155.355030	0.002746	0.9
67	-0.511026	3.647573	149.067388	0.002059	0.8
68	-0.472503	3.290323	151.259799	0.003273	0.8
69	-0.480433	3.185640	151.914495	0.002048	0.8
70	-0.491637	3.977804	147.096574	0.001515	0.8
71	-0.496123	3.548202	149.670813	0.001719	0.8
72	-0.496276	3.255783	151.475192	0.001847	0.9
73	-0.489415	2.893644	153.770990	0.001823	0.9
74	-0.489556	2.517462	156.230693	0.003242	0.8
75	-0.495284	2.087216	159.142155	0.002602	0.8
76	-0.474376	1.586881	162.667403	0.001929	0.8
77	-0.485033	1.090149	166.325241	0.002001	0.8
78	-0.482241	0.723705	169.130876	0.002544	0.8
79	-0.496500	0.223421	173.117673	0.002304	0.8
80	-0.504054	0.000000	174.959492	0.001911	0.8
81	-0.482603	0.000000	174.959492	0.002032	1.0
82	-0.504091	0.000000	174.959492	0.002147	0.9
83	-0.507880	0.000000	174.959492	0.002748	0.8
84	-0.485939	0.271586	172.725688	0.002603	0.8
85	-0.510891	0.000000	174.959492	0.003198	0.8
86	-0.511973	0.784928	168.655566	0.001973	0.8
87	-0.497010	0.301944	172.479533	0.001974	0.8
88	-0.491847	0.000000	174.959492	0.001256	0.8
89	-0.486919	0.000000	174.959492	0.001516	0.8
90	-0.506712	0.000000	174.959492	0.002568	0.8
91	-0.505380	0.000000	174.959492	0.002354	0.8
92	-0.499360	0.000000	174.959492	0.002327	0.8
93	-0.493157	0.570397	170.332950	0.002060	0.8
94	-0.503071	0.091470	174.200725	0.002240	0.8
95	-0.476402	0.000000	174.959492	0.002088	0.8
